"","Habitat","Mangrove_Dist","Depth","Slope","Curvature","ACR_Rugosity","BPI_Broad","BPI_Fine","Sum_Temp","Sum_DO","Win_Temp","Win_Sal","Win_DO"
"Habitat",1,-0.0806247960890663,0.0459115642943893,0.0913548504466887,0.00194410609487199,0.0429905934536943,0.132288214235121,0.0388242858285876,0.180915888167755,0.0699344035075495,0.204782560922108,0.0627594095987529,-0.137916002001139
"Mangrove_Dist",-0.0806247960890663,1,-0.473526438832815,0.0727602114239181,0.00183716767769503,0.00188975973600802,0.185647260527199,0.0582764331739442,-0.106540500859483,0.21714104055513,0.249273810145465,0.00844198294804212,-0.0162952001769228
"Depth",0.0459115642943893,-0.473526438832815,1,-0.205438822497531,0.0175798905954475,-0.0199926770422432,-0.125296837207196,-0.00666315595674208,0.370452032238241,-0.352999735861785,-0.263316209627591,-0.230060897947909,0.220533447209448
"Slope",0.0913548504466887,0.0727602114239181,-0.205438822497531,1,0.0125344154840655,0.425426530341195,0.206697360535712,0.229249892056211,-0.154836603851294,0.135984098402952,0.0203249165251922,0.136858825791934,-0.106073287758621
"Curvature",0.00194410609487199,0.00183716767769503,0.0175798905954475,0.0125344154840655,1,-0.0169934753839511,0.0462856325037418,0.188895851347224,-0.000219178824497846,0.00121022398571452,-0.000175200974960336,0.000784058344675836,0.00156133930275839
"ACR_Rugosity",0.0429905934536943,0.00188975973600802,-0.0199926770422432,0.425426530341195,-0.0169934753839511,1,0.0355274281745091,0.0761923062750459,-0.0135761729418528,0.0215032072164018,0.00856202182994337,0.0252270684787535,-0.0272664260123746
"BPI_Broad",0.132288214235121,0.185647260527199,-0.125296837207196,0.206697360535712,0.0462856325037418,0.0355274281745091,1,0.300041103610938,-0.181986542872739,0.149312026391566,0.0355323805065398,0.0855134860590955,-0.0711815994326732
"BPI_Fine",0.0388242858285876,0.0582764331739442,-0.00666315595674208,0.229249892056211,0.188895851347224,0.0761923062750459,0.300041103610938,1,-0.0778608886094479,0.0451017019276664,0.000501032256965715,0.0345013414340007,-0.0304305290185126
"Sum_Temp",0.180915888167755,-0.106540500859483,0.370452032238241,-0.154836603851294,-0.000219178824497846,-0.0135761729418528,-0.181986542872739,-0.0778608886094479,1,0.146715253344841,0.229564772915392,0.151490107317925,-0.0251581648760784
"Sum_DO",0.0699344035075495,0.21714104055513,-0.352999735861785,0.135984098402952,0.00121022398571452,0.0215032072164018,0.149312026391566,0.0451017019276664,0.146715253344841,1,0.40503273116497,0.633698149898798,-0.293842216774835
"Win_Temp",0.204782560922108,0.249273810145465,-0.263316209627591,0.0203249165251922,-0.000175200974960336,0.00856202182994337,0.0355323805065398,0.000501032256965715,0.229564772915392,0.40503273116497,1,0.28739335646172,-0.477463664838311
"Win_Sal",0.0627594095987529,0.00844198294804212,-0.230060897947909,0.136858825791934,0.000784058344675836,0.0252270684787535,0.0855134860590955,0.0345013414340007,0.151490107317925,0.633698149898798,0.28739335646172,1,-0.528310426364878
"Win_DO",-0.137916002001139,-0.0162952001769228,0.220533447209448,-0.106073287758621,0.00156133930275839,-0.0272664260123746,-0.0711815994326732,-0.0304305290185126,-0.0251581648760784,-0.293842216774835,-0.477463664838311,-0.528310426364878,1
