Species_Pair,D,I,Rho,Comparison_Type
BP-MP,0.776013008,0.951402869,0.635810122,Intra-functional group
MP-RP,0.708443398,0.92220395,0.611917775,Intra-functional group
RP-BP,0.756920717,0.933769453,0.68077891,Intra-functional group
BG-GS,0.889162746,0.989298965,0.910299243,Intra-functional group
BG-BP,0.747517331,0.941593375,0.669157643,Inter-functional group
BG-MP,0.740792653,0.942983221,0.619903354,Inter-functional group
BG-RP,0.786973901,0.961122787,0.849397696,Inter-functional group
GS-BP,0.701587896,0.916036488,0.527484699,Inter-functional group
GS-MP,0.734035061,0.935966383,0.581636661,Inter-functional group
GS-RP,0.766794076,0.95028432,0.771441,Inter-functional group
