"","Species_Pair","p_val_D","p_val_I","p_val_R"
"1","BG_BP","1.01010099989797e-08","1.01010099989797e-08","1.01010099989797e-08"
"2","BG_MP","1.01010099989797e-08","1.01010099989797e-08","0.0505050600959085"
"3","BG_RP","0.121212130088766","0.101010110090807","0.0606060700948882"
"4","BP_MP","0.0851063927116341","0.0638297971933","0.0744680949524671"
"5","BP_RP","1.01010099989797e-08","1.01010099989797e-08","1.01010099989797e-08"
"6","GS_BG","1.01010099989797e-08","1.01010099989797e-08","1.01010099989797e-08"
"7","GS_BP","1.02040815285298e-08","1.02040815285298e-08","1.02040815285298e-08"
"8","GS_MP","1.01010099989797e-08","1.01010099989797e-08","1.01010099989797e-08"
"9","GS_RP","1.01010099989797e-08","1.01010099989797e-08","0.0101010200999897"
"10","MP_RP","1.01010099989797e-08","1.01010099989797e-08","0.0606060700948882"
