ZONE_TYPE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,PCT10
ROA,70023,1750575,0.051878,0.992162,0.940284,0.459812,0.309254,32197.39,0.39213,0.868806,0.111074
SPA,636730,15918250,0.036157,0.992955,0.956798,0.508705,0.287287,323907.5,0.53654,0.863606,0.137735
WMA,550960,13774000,0.052828,0.951821,0.898994,0.310506,0.167758,171076.1,0.263783,0.576726,0.129691
AP,4333450,1.08E+08,0.021136,0.992955,0.971819,0.185313,0.164144,803044.6,0.119286,0.442215,0.047313
ER,672524,16813100,0.046783,0.991942,0.94516,0.329438,0.234431,221555.1,0.235222,0.722484,0.116149
ATBA,46503355,1.16E+09,0.031303,0.995188,0.963886,0.306503,0.226876,14253433,0.214874,0.702114,0.100081
EMA,59264336,1.48E+09,0.032945,0.992162,0.959217,0.252915,0.181914,14988823,0.195004,0.523086,0.084855
SP,9989971,2.50E+08,0.019849,0.982226,0.962378,0.147354,0.117432,1472057,0.099313,0.279851,0.071748
M:IR,69557,1738925,0.06119,0.992955,0.931765,0.772928,0.215027,53762.55016,0.842691,0.950157,0.367629
Seascape,205588642,5139716050,0.00788,0.996904,0.989023,0.218473,0.176795,44915485.33,0.156976,0.458292,0.067975
